flow_id,packet_count,total_bytes,avg_packet_size,avg_packet_rate,avg_inter_packet_time,endpoint_a,endpoint_b,_ws.col.Protocol,protocol_type,srcport,dstport,direction_packet_count_a_to_b,direction_packet_count_b_to_a,direction_total_bytes_a_to_b,direction_total_bytes_b_to_a
"10.10.10.1,10.10.10.252:3452.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:3452.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,3452.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:3454.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:3454.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,3454.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:3455.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:3455.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,3455.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:3456.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:3456.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,3456.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:3457.0-10.10.10.252,10.22.22.138:8059.0|TCP",2,188,94.0,0.33368058359399344,2.996878,"10.10.10.1,10.10.10.252:3457.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,3457.0,8059.0,2.0,0.0,188.0,0.0
"10.10.10.1,10.10.10.252:3458.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:3458.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,3458.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4468.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4468.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4468.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4469.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4469.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4469.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4470.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4470.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4470.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4471.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4471.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4471.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4474.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4474.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4474.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4496.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4496.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4496.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4497.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4497.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4497.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4504.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4504.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4504.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4506.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4506.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4506.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4606.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4606.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4606.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4607.0-10.10.10.252,10.22.22.138:8059.0|TCP",2,188,94.0,0.33333322222225925,3.000001,"10.10.10.1,10.10.10.252:4607.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4607.0,8059.0,2.0,0.0,188.0,0.0
"10.10.10.1,10.10.10.252:4608.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4608.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4608.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4611.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4611.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4611.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4612.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4612.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4612.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4620.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4620.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4620.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4626.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4626.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4626.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4627.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4627.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4627.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4630.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4630.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4630.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4631.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4631.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4631.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4632.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4632.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4632.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4638.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4638.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4638.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4639.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4639.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4639.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4640.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4640.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4640.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4649.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4649.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4649.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4650.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4650.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4650.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4651.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4651.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4651.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.252:4652.0-10.10.10.252,10.22.22.138:8059.0|TCP",1,94,94.0,0.0,,"10.10.10.1,10.10.10.252:4652.0","10.10.10.252,10.22.22.138:8059.0",ICMP,TCP,4652.0,8059.0,1.0,0.0,94.0,0.0
"10.10.10.1,10.10.10.6:68.0-10.10.10.6,10.10.10.1:67.0|UDP",40,14980,374.5,3.250894063554343e-06,307607.6859012307,"10.10.10.1,10.10.10.6:68.0","10.10.10.6,10.10.10.1:67.0",ICMP,UDP,67.0,68.0,0.0,40.0,0.0,14980.0
10.10.10.114:49153.0-10.10.10.1:53.0|UDP,40,7152,178.8,3.4837354017420426e-05,28704.82067897436,10.10.10.114:49153.0,10.10.10.1:53.0,DNS,UDP,49153.0,53.0,20.0,20.0,1800.0,5352.0
10.10.10.114:49157.0-195.65.87.104:80.0|UDP,30,2880,96.0,2.5913348944363368e-05,38590.149121482755,10.10.10.114:49157.0,195.65.87.104:80.0,UDP,UDP,49157.0,80.0,15.0,15.0,1380.0,1500.0
10.10.10.114:49158.0-195.65.87.104:80.0|UDP,10,960,96.0,8.042627906340025e-06,124337.46925077777,10.10.10.114:49158.0,195.65.87.104:80.0,UDP,UDP,49158.0,80.0,5.0,5.0,460.0,500.0
10.10.10.114:49158.0-195.65.87.71:80.0|UDP,1684,232228,137.90261282660333,0.0015056118810973633,664.1817938306594,10.10.10.114:49158.0,195.65.87.71:80.0,UDP,UDP,49158.0,80.0,842.0,842.0,143254.0,88974.0
10.10.10.114:49158.0-195.65.87.72:80.0|UDP,1150,158564,137.8817391304348,0.0010274615205770829,973.2724583577022,10.10.10.114:49158.0,195.65.87.72:80.0,UDP,UDP,49158.0,80.0,575.0,575.0,97708.0,60856.0
10.10.10.114:49158.0-195.65.87.73:80.0|UDP,1102,151982,137.9147005444646,0.0009849656853073833,1015.2637953960037,10.10.10.114:49158.0,195.65.87.73:80.0,UDP,UDP,49158.0,80.0,551.0,551.0,93862.0,58120.0
10.10.10.114:49159.0-195.65.87.71:80.0|UDP,842,115963,137.72327790973873,0.0007514631848269814,1330.7371807312722,10.10.10.114:49159.0,195.65.87.71:80.0,UDP,UDP,49159.0,80.0,420.0,422.0,71296.0,44667.0
10.10.10.114:49159.0-195.65.87.72:80.0|UDP,529,71120,134.44234404536863,0.5926596728874203,1.6873090000000002,10.10.10.114:49159.0,195.65.87.72:80.0,UDP,UDP,49159.0,80.0,264.0,265.0,43170.0,27950.0
10.10.10.114:49159.0-195.65.87.73:80.0|UDP,278,38407,138.1546762589928,2.490591274460731,0.401511083032491,10.10.10.114:49159.0,195.65.87.73:80.0,UDP,UDP,49159.0,80.0,139.0,139.0,23746.0,14661.0
10.10.10.114:5353.0-224.0.0.251:5353.0|UDP,1061,332661,313.5353440150801,0.0009468080278317787,1056.180313859434,10.10.10.114:5353.0,224.0.0.251:5353.0,MDNS,UDP,5353.0,5353.0,1061.0,0.0,332661.0,0.0
10.10.10.114:68.0-10.10.10.1:67.0|UDP,78,26676,342.0,6.877932633808125e-05,14539.252610363637,10.10.10.114:68.0,10.10.10.1:67.0,DHCP,UDP,67.0,68.0,0.0,78.0,0.0,26676.0
10.10.10.11:32786.0-10.10.10.1:53.0|UDP,2,224,112.0,8547.008547008547,0.000117,10.10.10.11:32786.0,10.10.10.1:53.0,DNS,UDP,32786.0,53.0,1.0,1.0,112.0,112.0
10.10.10.11:32880.0-10.10.10.1:53.0|UDP,2,293,146.5,19.940577080300706,0.050149,10.10.10.11:32880.0,10.10.10.1:53.0,DNS,UDP,32880.0,53.0,1.0,1.0,80.0,213.0
10.10.10.11:32942.0-10.10.10.1:53.0|UDP,2,282,141.0,8849.557522123894,0.000113,10.10.10.11:32942.0,10.10.10.1:53.0,DNS,UDP,32942.0,53.0,1.0,1.0,113.0,169.0
10.10.10.11:32949.0-10.10.10.1:53.0|UDP,2,293,146.5,276.62517289073304,0.003615,10.10.10.11:32949.0,10.10.10.1:53.0,DNS,UDP,32949.0,53.0,1.0,1.0,80.0,213.0
10.10.10.11:32959.0-10.10.10.1:53.0|UDP,2,469,234.5,69.3000693000693,0.01443,10.10.10.11:32959.0,10.10.10.1:53.0,DNS,UDP,32959.0,53.0,1.0,1.0,74.0,395.0
10.10.10.11:32979.0-10.10.10.1:53.0|UDP,2,174,87.0,6896.551724137931,0.000145,10.10.10.11:32979.0,10.10.10.1:53.0,DNS,UDP,32979.0,53.0,1.0,1.0,79.0,95.0
10.10.10.11:33007.0-10.10.10.1:53.0|UDP,2,293,146.5,105.55203715431708,0.009474,10.10.10.11:33007.0,10.10.10.1:53.0,DNS,UDP,33007.0,53.0,1.0,1.0,80.0,213.0
10.10.10.11:33019.0-52.58.68.165:443.0|TCP,21,6886,327.9047619047619,30.936813106071508,0.032323950000000004,10.10.10.11:33019.0,52.58.68.165:443.0,TCP,TCP,33019.0,443.0,12.0,9.0,1647.0,5239.0
10.10.10.11:33021.0-52.58.68.165:443.0|TCP,25,7920,316.8,28.319553117451807,0.03531129166666667,10.10.10.11:33021.0,52.58.68.165:443.0,TCP,TCP,33021.0,443.0,14.0,11.0,2501.0,5419.0
10.10.10.11:33022.0-52.58.68.165:443.0|TCP,21,6630,315.7142857142857,10.552647421803567,0.09476294999999998,10.10.10.11:33022.0,52.58.68.165:443.0,TCP,TCP,33022.0,443.0,12.0,9.0,1535.0,5095.0
10.10.10.11:33067.0-10.10.10.1:53.0|UDP,2,224,112.0,8196.72131147541,0.000122,10.10.10.11:33067.0,10.10.10.1:53.0,DNS,UDP,33067.0,53.0,1.0,1.0,112.0,112.0
10.10.10.11:33121.0-54.186.215.173:123.0|UDP,2,180,90.0,6.089021494245875,0.16423,10.10.10.11:33121.0,54.186.215.173:123.0,NTP,UDP,33121.0,123.0,1.0,1.0,90.0,90.0
10.10.10.11:33123.0-10.10.10.1:53.0|UDP,2,252,126.0,10638.297872340427,9.4e-05,10.10.10.11:33123.0,10.10.10.1:53.0,DNS,UDP,33123.0,53.0,1.0,1.0,77.0,175.0
10.10.10.11:33186.0-52.58.68.165:443.0|TCP,19,6503,342.2631578947368,21.533212587837564,0.046439888888888885,10.10.10.11:33186.0,52.58.68.165:443.0,TCP,TCP,33186.0,443.0,10.0,9.0,1556.0,4947.0
10.10.10.11:33187.0-52.58.68.165:443.0|TCP,14,2400,171.42857142857142,14.518553594682189,0.06887738461538462,10.10.10.11:33187.0,52.58.68.165:443.0,TCP,TCP,33187.0,443.0,7.0,7.0,1366.0,1034.0
10.10.10.11:33221.0-10.10.10.1:53.0|UDP,2,252,126.0,10416.666666666666,9.6e-05,10.10.10.11:33221.0,10.10.10.1:53.0,DNS,UDP,33221.0,53.0,1.0,1.0,77.0,175.0
10.10.10.11:33230.0-10.10.10.1:53.0|UDP,2,208,104.0,8620.689655172413,0.000116,10.10.10.11:33230.0,10.10.10.1:53.0,DNS,UDP,33230.0,53.0,1.0,1.0,104.0,104.0
10.10.10.11:33232.0-10.10.10.1:53.0|UDP,2,224,112.0,8403.361344537814,0.000119,10.10.10.11:33232.0,10.10.10.1:53.0,DNS,UDP,33232.0,53.0,1.0,1.0,112.0,112.0
10.10.10.11:33243.0-10.10.10.1:53.0|UDP,4,448,112.0,24793.388429752067,4.0333333333333336e-05,10.10.10.11:33243.0,10.10.10.1:53.0,DNS,UDP,33243.0,53.0,2.0,2.0,224.0,224.0
10.10.10.11:33247.0-10.10.10.1:53.0|UDP,2,389,194.5,70.19021548396154,0.014247,10.10.10.11:33247.0,10.10.10.1:53.0,DNS,UDP,33247.0,53.0,1.0,1.0,86.0,303.0
10.10.10.11:33265.0-10.10.10.1:53.0|UDP,2,180,90.0,13157.894736842105,7.6e-05,10.10.10.11:33265.0,10.10.10.1:53.0,DNS,UDP,33265.0,53.0,1.0,1.0,74.0,106.0
10.10.10.11:33282.0-52.37.127.48:123.0|UDP,2,180,90.0,5.858951599200839,0.170679,10.10.10.11:33282.0,52.37.127.48:123.0,NTP,UDP,33282.0,123.0,1.0,1.0,90.0,90.0
10.10.10.11:33413.0-10.10.10.1:53.0|UDP,2,445,222.5,38.48818412747286,0.025982,10.10.10.11:33413.0,10.10.10.1:53.0,DNS,UDP,33413.0,53.0,1.0,1.0,74.0,371.0
10.10.10.11:33443.0-10.10.10.1:53.0|UDP,2,180,90.0,10526.315789473683,9.5e-05,10.10.10.11:33443.0,10.10.10.1:53.0,DNS,UDP,33443.0,53.0,1.0,1.0,74.0,106.0
10.10.10.11:33656.0-52.25.174.177:80.0|TCP,11,1104,100.36363636363636,17.64726643842869,0.056665999999999994,10.10.10.11:33656.0,52.25.174.177:80.0,TCP,TCP,33656.0,80.0,6.0,5.0,565.0,539.0
10.10.10.11:33737.0-10.10.10.1:53.0|UDP,2,375,187.5,280.8988764044944,0.00356,10.10.10.11:33737.0,10.10.10.1:53.0,DNS,UDP,33737.0,53.0,1.0,1.0,79.0,296.0
10.10.10.11:33878.0-10.10.10.1:53.0|UDP,2,174,87.0,14084.507042253521,7.1e-05,10.10.10.11:33878.0,10.10.10.1:53.0,DNS,UDP,33878.0,53.0,1.0,1.0,79.0,95.0
10.10.10.11:33904.0-10.10.10.1:53.0|UDP,2,180,90.0,11363.636363636364,8.8e-05,10.10.10.11:33904.0,10.10.10.1:53.0,DNS,UDP,33904.0,53.0,1.0,1.0,74.0,106.0
10.10.10.11:33923.0-10.10.10.1:53.0|UDP,2,208,104.0,8196.72131147541,0.000122,10.10.10.11:33923.0,10.10.10.1:53.0,DNS,UDP,33923.0,53.0,1.0,1.0,104.0,104.0
10.10.10.11:33948.0-52.1.151.223:123.0|UDP,4,360,90.0,29.75806691597314,0.03360433333333333,10.10.10.11:33948.0,52.1.151.223:123.0,NTP,UDP,33948.0,123.0,2.0,2.0,180.0,180.0
10.10.10.11:34023.0-50.112.125.26:80.0|TCP,10,1014,101.4,6.676013084985647,0.14978999999999998,10.10.10.11:34023.0,50.112.125.26:80.0,TCP,TCP,34023.0,80.0,6.0,4.0,541.0,473.0
10.10.10.11:34025.0-52.28.38.154:443.0|TCP,23,8127,353.3478260869565,33.50553145864808,0.02984581818181818,10.10.10.11:34025.0,52.28.38.154:443.0,TCP,TCP,34025.0,443.0,13.0,10.0,1741.0,6386.0
10.10.10.11:34027.0-52.28.38.154:443.0|TCP,25,7920,316.8,43.80017629570959,0.02283095833333333,10.10.10.11:34027.0,52.28.38.154:443.0,TCP,TCP,34027.0,443.0,14.0,11.0,2501.0,5419.0
10.10.10.11:34028.0-52.28.38.154:443.0|TCP,21,6630,315.7142857142857,15.289152270018661,0.06540585,10.10.10.11:34028.0,52.28.38.154:443.0,TCP,TCP,34028.0,443.0,12.0,9.0,1535.0,5095.0
10.10.10.11:34034.0-10.10.10.1:53.0|UDP,4,504,126.0,36585.365853658535,2.7333333333333335e-05,10.10.10.11:34034.0,10.10.10.1:53.0,DNS,UDP,34034.0,53.0,2.0,2.0,154.0,350.0
10.10.10.11:34037.0-10.10.10.1:53.0|UDP,2,172,86.0,11111.111111111111,9e-05,10.10.10.11:34037.0,10.10.10.1:53.0,DNS,UDP,34037.0,53.0,1.0,1.0,86.0,86.0
10.10.10.11:34085.0-10.10.10.1:53.0|UDP,2,389,194.5,288.2675122513693,0.003469,10.10.10.11:34085.0,10.10.10.1:53.0,DNS,UDP,34085.0,53.0,1.0,1.0,86.0,303.0
10.10.10.11:34117.0-10.10.10.1:53.0|UDP,2,172,86.0,11235.955056179775,8.9e-05,10.10.10.11:34117.0,10.10.10.1:53.0,DNS,UDP,34117.0,53.0,1.0,1.0,86.0,86.0
10.10.10.11:34132.0-54.231.184.196:80.0|TCP,231,209120,905.2813852813853,87.8132068008656,0.011387808695652174,10.10.10.11:34132.0,54.231.184.196:80.0,TCP,TCP,34132.0,80.0,84.0,147.0,4722.0,204398.0
10.10.10.11:34151.0-10.10.10.1:53.0|UDP,2,445,222.5,71.72572084349449,0.013942,10.10.10.11:34151.0,10.10.10.1:53.0,DNS,UDP,34151.0,53.0,1.0,1.0,74.0,371.0
10.10.10.11:34176.0-10.10.10.1:53.0|UDP,2,293,146.5,163.63933889707084,0.006111,10.10.10.11:34176.0,10.10.10.1:53.0,DNS,UDP,34176.0,53.0,1.0,1.0,80.0,213.0
10.10.10.11:34216.0-10.10.10.1:53.0|UDP,2,256,128.0,757.5757575757576,0.00132,10.10.10.11:34216.0,10.10.10.1:53.0,DNS,UDP,34216.0,53.0,1.0,1.0,86.0,170.0
10.10.10.11:34406.0-10.10.10.1:53.0|UDP,2,389,194.5,72.74843590862797,0.013746,10.10.10.11:34406.0,10.10.10.1:53.0,DNS,UDP,34406.0,53.0,1.0,1.0,86.0,303.0
10.10.10.11:34602.0-10.10.10.1:53.0|UDP,2,450,225.0,271.7391304347826,0.00368,10.10.10.11:34602.0,10.10.10.1:53.0,DNS,UDP,34602.0,53.0,1.0,1.0,77.0,373.0
10.10.10.11:34612.0-10.10.10.1:53.0|UDP,2,252,126.0,8333.333333333334,0.00012,10.10.10.11:34612.0,10.10.10.1:53.0,DNS,UDP,34612.0,53.0,1.0,1.0,77.0,175.0
10.10.10.11:34736.0-54.231.168.216:80.0|TCP,227,208904,920.2819383259912,82.39070107924528,0.012137292035398229,10.10.10.11:34736.0,54.231.168.216:80.0,TCP,TCP,34736.0,80.0,80.0,147.0,4506.0,204398.0
10.10.10.11:34831.0-52.28.131.102:443.0|TCP,64,12656,197.75,3.13438153353746,0.3190422063492064,10.10.10.11:34831.0,52.28.131.102:443.0,TCP,TCP,34831.0,443.0,32.0,32.0,2942.0,9714.0
10.10.10.11:34933.0-10.10.10.1:53.0|UDP,2,252,126.0,7936.507936507936,0.000126,10.10.10.11:34933.0,10.10.10.1:53.0,DNS,UDP,34933.0,53.0,1.0,1.0,77.0,175.0
10.10.10.11:34962.0-10.10.10.1:53.0|UDP,2,208,104.0,5319.148936170213,0.000188,10.10.10.11:34962.0,10.10.10.1:53.0,DNS,UDP,34962.0,53.0,1.0,1.0,104.0,104.0
10.10.10.11:34984.0-52.28.131.102:443.0|TCP,47,7138,151.87234042553192,0.8339019880187137,1.199181695652174,10.10.10.11:34984.0,52.28.131.102:443.0,TCP,TCP,34984.0,443.0,24.0,23.0,1903.0,5235.0
10.10.10.11:35147.0-52.1.151.223:123.0|UDP,2,180,90.0,9.401942441308375,0.106361,10.10.10.11:35147.0,52.1.151.223:123.0,NTP,UDP,35147.0,123.0,1.0,1.0,90.0,90.0
10.10.10.11:35163.0-10.10.10.1:53.0|UDP,2,180,90.0,10989.010989010989,9.1e-05,10.10.10.11:35163.0,10.10.10.1:53.0,DNS,UDP,35163.0,53.0,1.0,1.0,74.0,106.0
10.10.10.11:35291.0-10.10.10.1:53.0|UDP,2,174,87.0,11235.955056179775,8.9e-05,10.10.10.11:35291.0,10.10.10.1:53.0,DNS,UDP,35291.0,53.0,1.0,1.0,79.0,95.0
